                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4753,                 1.6705,                 1.6696,                0.76455,                0.89944,                0.89206,                0.58527,                 1.2028,                 1.5632,                 1.1745,             0.00046641,             0.00046641,             0.00046641
                      2,                 1.2062,                 1.0327,                 1.3455,                0.78141,                0.89575,                0.89078,                0.59422,                 1.1355,                  1.347,                 1.2102,             0.00090541,             0.00090541,             0.00090541
                      3,                 1.2023,                0.95797,                 1.3228,                0.80246,                0.89184,                0.89665,                0.58081,                 1.2087,                0.91848,                 1.2769,              0.0013067,              0.0013067,              0.0013067
                      4,                 1.1495,                0.89468,                 1.2918,                 0.8375,                0.83896,                0.91393,                0.60543,                 1.1244,                0.81934,                 1.2331,              0.0012592,              0.0012592,              0.0012592
                      5,                 1.1113,                0.86342,                 1.2591,                0.80206,                 0.8819,                0.86501,                0.57614,                 1.1695,                0.90628,                 1.2304,              0.0012592,              0.0012592,              0.0012592
                      6,                 1.0933,                0.82049,                 1.2426,                0.83812,                0.88398,                0.92061,                0.62302,                 1.1279,                0.82212,                  1.258,              0.0012026,              0.0012026,              0.0012026
                      7,                 1.0875,                  0.808,                 1.2236,                0.84655,                0.88937,                0.91884,                0.64062,                 1.0767,                0.72898,                 1.2137,              0.0011461,              0.0011461,              0.0011461
                      8,                 1.0518,                0.78425,                   1.21,                0.88565,                0.85523,                0.92397,                 0.6367,                 1.1174,                 0.7835,                  1.229,              0.0010895,              0.0010895,              0.0010895
                      9,                 1.0553,                0.78176,                 1.1998,                0.86364,                0.89606,                0.93486,                0.63634,                 1.1194,                0.69414,                 1.2066,              0.0010329,              0.0010329,              0.0010329
                     10,                 1.0388,                 0.7347,                 1.1855,                0.87496,                0.89017,                0.92929,                0.64058,                 1.0676,                0.73768,                 1.1972,             0.00097629,             0.00097629,             0.00097629
                     11,                 1.0273,                0.73138,                 1.1764,                0.86322,                0.86316,                0.91073,                0.61694,                 1.0947,                 0.7567,                 1.2312,              0.0009197,              0.0009197,              0.0009197
                     12,                 1.0205,                0.72024,                 1.1756,                0.83203,                0.90514,                0.93024,                0.62946,                 1.0713,                0.71777,                 1.2049,             0.00086312,             0.00086312,             0.00086312
                     13,                 1.0555,                0.71764,                 1.1907,                0.85992,                0.88775,                0.92763,                0.62538,                 1.1672,                 0.7492,                 1.2826,             0.00080653,             0.00080653,             0.00080653
                     14,                 1.0373,                0.71127,                 1.1906,                 0.8831,                0.86871,                 0.9248,                0.63724,                 1.0894,                0.74336,                 1.2073,             0.00074994,             0.00074994,             0.00074994
                     15,                 1.0259,                 0.7082,                 1.1865,                0.84099,                0.93106,                0.94214,                0.64264,                 1.0719,                0.72552,                 1.2124,             0.00069335,             0.00069335,             0.00069335
                     16,                0.97227,                0.67871,                 1.1393,                0.81787,                0.89152,                 0.9245,                0.62985,                 1.0735,                0.89135,                  1.234,             0.00063676,             0.00063676,             0.00063676
                     17,                  0.963,                0.62976,                 1.1391,                0.84152,                0.89054,                0.91726,                0.62276,                  1.083,                0.73476,                 1.2363,             0.00058017,             0.00058017,             0.00058017
                     18,                0.93212,                0.60543,                 1.1164,                0.84793,                 0.9099,                0.92144,                0.60845,                 1.1952,                0.70757,                 1.3571,             0.00052359,             0.00052359,             0.00052359
                     19,                0.92002,                0.59231,                 1.1155,                0.85393,                0.89981,                0.91777,                0.62346,                 1.1161,                0.70165,                  1.283,               0.000467,               0.000467,               0.000467
                     20,                 0.8958,                0.56349,                 1.0984,                0.87374,                0.89991,                0.93528,                0.64576,                 1.0955,                0.75814,                 1.2478,             0.00041041,             0.00041041,             0.00041041
                     21,                0.88379,                0.54618,                 1.0893,                0.84911,                0.91028,                0.92962,                0.64647,                 1.0701,                0.74653,                 1.2327,             0.00035382,             0.00035382,             0.00035382
                     22,                 0.8683,                0.52997,                 1.0781,                0.85586,                0.89666,                 0.9224,                0.64128,                  1.087,                0.76123,                 1.2518,             0.00029723,             0.00029723,             0.00029723
                     23,                0.84597,                0.50622,                 1.0665,                0.84128,                0.91678,                0.91769,                0.63454,                 1.1113,                0.76047,                 1.2764,             0.00024064,             0.00024064,             0.00024064
                     24,                 0.8237,                0.48502,                 1.0506,                0.85176,                0.91758,                0.92787,                0.64132,                 1.0885,                0.73378,                 1.2558,             0.00018406,             0.00018406,             0.00018406
                     25,                0.80833,                0.46759,                  1.039,                0.85581,                0.90441,                 0.9203,                0.63443,                 1.1025,                0.80403,                 1.2619,             0.00012747,             0.00012747,             0.00012747
